product_id,merchant_id,product_name,product_category,offering_type,unit_price,is_physical,return_eligible
PROD000001,M000001,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1290.1,1,1
PROD000002,M000001,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,629.95,1,1
PROD000003,M000001,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3241.7,1,1
PROD000004,M000001,Custom Keychains Set,Gifts & Novelties,handicraft_item,310.56,1,1
PROD000005,M000001,Embroidered Cushion Cover,Home & Living,home_decor,953.01,1,1
PROD000006,M000002,Performance Running Shoes,Footwear,footwear,3743.01,1,1
PROD000007,M000002,Urban Casual Sneakers,Footwear,footwear,3690.39,1,1
PROD000008,M000002,Leather Formal Shoes,Footwear,footwear,4707.18,1,1
PROD000009,M000002,Breathable Sports Sandals,Footwear,footwear,1717.26,1,1
PROD000010,M000003,UPSC Complete Foundation Course 2026,Competitive Exams,exam_course,15079.45,0,0
PROD000011,M000003,Mains Answer Writing Test Series,Test Series,test_series,6334.39,0,0
PROD000012,M000003,Monthly Current Affairs & Magazine Pass,Study Material,study_material,1779.65,0,0
PROD000013,M000003,CSAT Aptitude Intensive Crash Course,Short Courses,exam_course,3885.7,0,0
PROD000014,M000003,1-on-1 Personal Mentorship Session,Mentorship,mentorship,2700.72,0,0
PROD000015,M000003,UPSC Complete Foundation Course 2026,Competitive Exams,exam_course,14884.67,0,0
PROD000016,M000004,Domestic Economy Flight Ticket,Flights,flight_booking,4213.37,0,0
PROD000017,M000004,3-Star Hotel Stay (2 Nights),Accommodation,hotel_stay,6203.35,0,0
PROD000018,M000004,Goa Beach Resort Holiday Package,Vacation Packages,vacation_package,16117.44,0,0
PROD000019,M000004,Outstation Cab Rental (Full Day),Transportation,car_rental,1805.97,0,0
PROD000020,M000004,Heritage City Guided Tour,Activities & Tours,tour_package,50.0,0,0
PROD000021,M000004,Domestic Economy Flight Ticket,Flights,flight_booking,6129.18,0,0
PROD000022,M000005,Starter Developer API License,Software Subscriptions,saas_plan,3211.08,0,0
PROD000023,M000005,Pro Engineering Team Subscription,Software Subscriptions,saas_plan,8773.2,0,0
PROD000024,M000005,Enterprise Infrastructure Plan,Software Subscriptions,saas_plan,24249.4,0,0
PROD000025,M000005,Custom Domain & SSL Add-on,Add-on Services,saas_plan,330.42,0,0
PROD000026,M000005,Priority 24/7 Technical Support Pass,Support Services,saas_plan,5321.6,0,0
PROD000027,M000006,Special Chicken Biryani Combo,Main Course,food_item,428.95,0,0
